top - 06:19:37 up 15:24,  3 users,  load average: 1.09, 0.30, 0.10
Tasks: 117 total,   4 running, 113 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.3 us, 28.6 sy,  0.0 ni,  0.0 id,  0.0 wa, 42.9 hi, 14.3 si,  0.0 st
MiB Mem :   1817.3 total,     69.9 free,   1707.3 used,     40.1 buff/cache
MiB Swap:    820.0 total,     18.1 free,    801.9 used.     15.6 avail Mem 

   1403 root      20   0  100696    196      0 S   0.0   0.0   0:00.05 systemd
   1408 root      20   0  241680      0      0 S   0.0   0.0   0:00.00 (sd-pam)
   1414 root      20   0  237596      0      0 S   0.0   0.0   0:00.69 bash
   1530 root      20   0  123056      0      0 S   0.0   0.0   0:00.01 login
   1536 root      20   0  237332      4      4 S   0.0   0.0   0:00.06 bash
   1903 root      20   0  123056      0      0 S   0.0   0.0   0:00.06 login
   1909 root      20   0  237332      4      4 S   0.0   0.0   0:00.63 bash
   3258 root      20   0  242272      4      4 S   0.0   0.0   0:00.01 nano
   4389 root      20   0  237612   1292   1184 S   0.0   0.1   0:00.99 bash
   5310 root      20   0  275192    408      0 S   0.0   0.0   0:26.59 top
   8121 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/u2:1-flush-253:0
   9954 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/u2:0-flush-253:2
  13085 root      20   0       0      0      0 I   0.0   0.0   0:03.94 kworker/0:1-events
  13127 root      20   0       0      0      0 I   0.0   0.0   0:02.27 kworker/0:0-events
  13129 root      20   0       0      0      0 R   0.0   0.0   0:00.90 kworker/0:2-events_power_ef+
  13132 root      20   0  222516   1556   1556 S   0.0   0.1   0:00.00 bash
  13134 root      20   0  222516   1752   1624 S   0.0   0.1   0:00.04 bash
  13487 root      20   0  275048   4544   3972 R   0.0   0.2   0:00.00 top
